COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ib.1	p_Ia.3.III	p_Ia.4.RS39	p_Ia.3.IV	p_Ia.4.1483	p_Ia.4.II	p_Ia.3.II	p_Ia.3.VI	p_Ia.3.V	p_Ia.3.I	p_Ia.1.I	N_Ib.1	N_Ia.3.III	N_Ia.4.RS39	N_Ia.3.IV	N_Ia.4.1483	N_Ia.4.II	N_Ia.3.II	N_Ia.3.VI	N_Ia.3.V	N_Ia.3.I	N_Ia.1.I
Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O) (SelO) (PDB:6EAC) (PUBMED:30270044)	92.00155499151725	2.145543096653958e-15	5.764669600980789e-14	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0397	GC_00000888	0	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
UDP-N-acetylmuramyl tripeptide synthase (MurE) (PDB:1E8C)	92.00155499151725	2.145543096653958e-15	5.764669600980789e-14	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0769	GC_00000842	0	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
UDP-N-acetylmuramyl tripeptide synthase (MurE) (PDB:1E8C)!!!UDP-N-acetylmuramyl pentapeptide synthase (MurF) (PDB:4CVK)	92.00155499151711	2.1455430966540977e-15	5.764669600980789e-14	Ib.1	COG0769!!!COG0770	GC_00003553	1	0	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted sugar epimerase, cupin superfamily (CFF1) (PDB:1XE7) (PUBMED:15608122)	92.00155499151711	2.1455430966540977e-15	5.764669600980789e-14	Ib.1	COG3542	GC_00003532	1	0	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted epimerase YddE/YHI9, PhzF superfamily (YHI9) (PDB:1SDJ) (PUBMED:24914732)	92.00155499151711	2.1455430966540977e-15	5.764669600980789e-14	Ib.1	COG0384	GC_00003946	1	0	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Biotin-(acetyl-CoA carboxylase) ligase (BirA2) (PDB:1BIA) (PUBMED:32188788)!!!Biotin operon repressor (BirA) (PDB:1BIA)	92.00155499151711	2.1455430966540977e-15	5.764669600980789e-14	Ib.1	COG0340!!!COG1654	GC_00003405	1	0	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains (YyaL) (PDB:3IRA)	92.00155499151711	2.1455430966540977e-15	5.764669600980789e-14	Ib.1	COG1331	GC_00003824	1	0	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Ketopantoate reductase (PanE) (PDB:1BG6)	92.00134627723033	2.145747980864351e-15	5.764669600980789e-14	Ia.3.IV, Ia.3.VI, Ia.3.V	COG1893	GC_00001199	0	0	0	1	0	0	0	1	1	0	0	2	5	4	2	1	7	6	47	8	3	7
Galactose mutarotase or related enzyme (GalM) (PDB:1LUR)	92.00134627723033	2.145747980864351e-15	5.764669600980789e-14	Ia.3.IV, Ia.3.VI, Ia.3.V	COG2017	GC_00001211	0	0	0	1	0	0	0	1	1	0	0	2	5	4	2	1	7	6	47	8	3	7
Trans-aconitate methyltransferase (Tam) (PDB:2P35)	92.00134627723025	2.1457479808644205e-15	5.764669600980789e-14	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.I, Ia.1.I	COG4106	GC_00001369	0	1	1	1	1	1	1	0	0	1	1	2	5	4	2	1	7	6	47	8	3	7
Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN (Med) (PDB:2FQW) (PUBMED:21622736)	92.0009467856481	2.1461401958996116e-15	5.764669600980789e-14	Ia.3.V	COG1744	GC_00001883	0	0	0	0	0	0	0	0	1	0	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)	92.0009467856481	2.1461401958996116e-15	5.764669600980789e-14	Ia.3.V	COG1079	GC_00001868	0	0	0	0	0	0	0	0	1	0	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type guanosine uptake system NupNOPQ, permease component NupP (NupP) (PUBMED:21926227)	92.0009467856481	2.1461401958996116e-15	5.764669600980789e-14	Ia.3.V	COG4603	GC_00001885	0	0	0	0	0	0	0	0	1	0	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type guanosine uptake system NupNOPQ, ATPase component NupO (NupO) (PUBMED:21926227)	92.0009467856481	2.1461401958996116e-15	5.764669600980789e-14	Ia.3.V	COG3845	GC_00001913	0	0	0	0	0	0	0	0	1	0	0	2	5	4	2	1	7	6	47	8	3	7
Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family (NCS2) (PUBMED:24169576;24214977)	92.00094678564803	2.1461401958996802e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.I, Ia.1.I	COG2252	GC_00000980	1	1	1	1	1	1	1	1	0	1	1	2	5	4	2	1	7	6	47	8	3	7
Rubrerythrin (YotD) (PDB:1B71)	92.00029178085876	2.14678342490024e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.1.I	COG1592	GC_00001040	1	1	0	1	0	0	1	1	1	0	1	2	5	4	2	1	7	6	47	8	3	7
Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF (GlpC)	92.00029178085876	2.14678342490024e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.1.I	COG0247	GC_00001045, GC_00001074	1	1	0	1	0	0	1	1	1	0	1	2	5	4	2	1	7	6	47	8	3	7
Catalase (peroxidase I) (KatG) (PDB:5SX1) (PUBMED:31337720)	92.00029178085875	2.146783424900254e-15	5.764669600980789e-14	Ia.4.RS39, Ia.4.1483, Ia.4.II, Ia.3.I	COG0376	GC_00001579	0	0	1	0	1	1	0	0	0	1	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type Fe3+ transport system, permease component (FbpB)	92.00023583186864	2.1468383769466577e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG1178	GC_00000837, GC_00001409, GC_00003384	1	1	1	1	0	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
ABC-type Fe3+ transport system, periplasmic component (AfuA) (PDB:6IVY)	92.00023583186864	2.1468383769466577e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG1840	GC_00000849, GC_00001394, GC_00003970	1	1	1	1	0	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
High-affinity Fe2+/Pb2+ permease (FTR1)	92.00023583186832	2.1468383769469658e-15	5.764669600980789e-14	Ia.4.1483	COG0672	GC_00007404	0	0	0	0	1	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Adenosine deaminase (Add) (PDB:1A4L)	92.00023583186832	2.1468383769469658e-15	5.764669600980789e-14	Ia.4.1483	COG1816	GC_00006103	0	0	0	0	1	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF (GlpC)!!!FAD/FMN-containing lactate dehydrogenase/glycolate oxidase (GlcD) (PDB:1AHU)	92.00012305827771	2.1469491453137675e-15	5.764669600980789e-14	Ib.1, Ia.4.RS39, Ia.3.I	COG0247!!!COG0277	GC_00001803	1	0	1	0	0	0	0	0	0	1	0	2	5	4	2	1	7	6	47	8	3	7
Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG (PucG) (PDB:3NNK)	92.00012305827771	2.1469491453137675e-15	5.764669600980789e-14	Ib.1, Ia.4.RS39, Ia.3.I	COG0075	GC_00001795	1	0	1	0	0	0	0	0	0	1	0	2	5	4	2	1	7	6	47	8	3	7
Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component (YbbP)	92.0001220946452	2.146950091836522e-15	5.764669600980789e-14	Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG3127	GC_00000971	0	1	0	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Xanthine dehydrogenase, molybdopterin-binding subunit XdhB (XdhB)	92.00010324999376	2.1469686019760312e-15	5.764669600980789e-14	Ia.4.1483, Ia.3.V	COG4631	GC_00001784	0	0	0	0	1	0	0	0	1	0	0	2	5	4	2	1	7	6	47	8	3	7
tRNA(Arg) A34 adenosine deaminase TadA (TadA) (PDB:2A8N)	92.00010324999376	2.1469686019760312e-15	5.764669600980789e-14	Ia.4.1483, Ia.3.V	COG0590	GC_00001781, GC_00001890	0	0	0	0	1	0	0	0	1	0	0	2	5	4	2	1	7	6	47	8	3	7
2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation) (PucL) (PDB:2O70)	92.00010324999376	2.1469686019760312e-15	5.764669600980789e-14	Ia.4.1483, Ia.3.V	COG3195	GC_00001765	0	0	0	0	1	0	0	0	1	0	0	2	5	4	2	1	7	6	47	8	3	7
Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA (XdhA)	92.00010324999376	2.1469686019760312e-15	5.764669600980789e-14	Ia.4.1483, Ia.3.V	COG4630	GC_00001774	0	0	0	0	1	0	0	0	1	0	0	2	5	4	2	1	7	6	47	8	3	7
ssDNA abasic site-binding protein YedK/HMCES, SRAP family (SRAP) (PDB:1ZN6) (PUBMED:30554877;31504793)	92.0000815066723	2.146989959529041e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG2135	GC_00001071	1	1	0	1	0	0	1	1	1	1	0	2	5	4	2	1	7	6	47	8	3	7
Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family (XdhC) (PDB:2WE7) (PUBMED:24498065)	92.00006981633004	2.147001442549725e-15	5.764669600980789e-14	Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.V	COG1975	GC_00001476, GC_00001480	0	1	0	0	1	0	1	0	1	0	0	2	5	4	2	1	7	6	47	8	3	7
Periplasmic chaperone for outer membrane proteins, Skp family (HlpA) (PDB:1SG2)	92.00001451781874	2.147055761203924e-15	5.764669600980789e-14	Ia.4.1483, Ia.4.II	COG2825	GC_00001911	0	0	0	0	1	1	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized membrane protein YadS, UPF0324 family (YeiH)	92.00001451781863	2.1470557612040366e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG2855	GC_00000988	1	1	1	1	0	0	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF952 family (PDB:2JQN)	92.00000694050298	2.147063204360925e-15	5.764669600980789e-14	Ia.3.IV, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG3502	GC_00001118	0	0	0	1	0	0	0	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrQ) (PUBMED:26641313)	92.00000450093295	2.1470656007430904e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG2717	GC_00000998, GC_00002677	1	1	0	1	1	0	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406)	92.00000450093295	2.1470656007430904e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG2041	GC_00001015, GC_00002384	1	1	0	1	1	0	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Molybdopterin synthase catalytic subunit MoaE (MoaE) (PDB:1FM0) (PUBMED:32239579)	92.00000450093295	2.1470656007430904e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0314	GC_00001006	1	1	0	1	1	0	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Molybdopterin Mo-transferase (molybdopterin biosynthesis) (MoeA) (PDB:2NQU) (PUBMED:18801996;32239579)	92.00000450093295	2.1470656007430904e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0303	GC_00001004	1	1	0	1	1	0	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Molybdenum cofactor biosynthesis enzyme MoaC (MoaC) (PDB:1EKR) (PUBMED:32239579)	92.00000450093295	2.1470656007430904e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0315	GC_00001011	1	1	0	1	1	0	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF1244 family (PDB:2O35)	92.00000450093295	2.1470656007430904e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG3492	GC_00001008	1	1	0	1	1	0	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Molybdopterin biosynthesis enzyme MoaB/MogA (MoaB) (PDB:1DI6) (PUBMED:32239579)	92.00000450093295	2.1470656007430904e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0521	GC_00001007	1	1	0	1	1	0	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Small neutral amino acid transporter SnatA, MarC family (MarC) (PUBMED:17954692;12761179)	92.0000041155713	2.147065979282895e-15	5.764669600980789e-14	Ia.3.IV, Ia.1.I	COG2095	GC_00001729	0	0	0	1	0	0	0	0	0	0	1	2	5	4	2	1	7	6	47	8	3	7
Cell division ATPase FtsA (FtsA) (PDB:3WT0)	92.00000411557112	2.147065979283077e-15	5.764669600980789e-14	Ib.1, Ia.1.I	COG0849	GC_00001965, GC_00003545	1	0	0	0	0	0	0	0	0	0	1	2	5	4	2	1	7	6	47	8	3	7
Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family	89.90460839373064	5.594343292912677e-15	1.4742130566323588e-13	Ia.3.VI, Ia.3.V	COG3607	GC_00001201	0	0	0	0.5	0	0	0	1	1	0	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppC)	89.76203151621428	5.970575728165364e-15	1.490548993189353e-13	Ib.1, Ia.3.VI, Ia.3.V, Ia.3.I	COG1173	GC_00001169, GC_00001761	1	0	0	0.5	0	0	0	1	1	1	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain (GsiA)	89.76203151621428	5.970575728165364e-15	1.490548993189353e-13	Ib.1, Ia.3.VI, Ia.3.V, Ia.3.I	COG1123	GC_00001165, GC_00001751	1	0	0	0.5	0	0	0	1	1	1	0	2	5	4	2	1	7	6	47	8	3	7
Isopenicillin N synthase and related dioxygenases (PcbC) (PDB:1BK0)	89.76203151621428	5.970575728165364e-15	1.490548993189353e-13	Ib.1, Ia.3.VI, Ia.3.V, Ia.3.I	COG3491	GC_00001168	1	0	0	0.5	0	0	0	1	1	1	0	2	5	4	2	1	7	6	47	8	3	7
ADP-ribosylglycohydrolase (DraG) (PDB:1T5J)	89.01635407065582	8.390443048867319e-15	2.0585518031962405e-13	Ia.3.III, Ia.4.RS39, Ia.4.II, Ia.3.II, Ia.3.I, Ia.1.I	COG1397	GC_00001387	0	1	1	0	0	1	1	0	0	0.6667	1	2	5	4	2	1	7	6	47	8	3	7
N-hydroxylaminopurine reductase subunit YcbX, contains MOSC domain (YcbX) (PUBMED:18312271;20118259)	87.9810088293271	1.3451270609009786e-14	3.244264080783208e-13	Ia.3.III, Ia.3.IV, Ia.3.VI, Ia.3.I, Ia.1.I	COG3217	GC_00001353, GC_00001428	0	1	0	1	0	0	0.1667	1	0	1	1	2	5	4	2	1	7	6	47	8	3	7
N-hydroxylaminopurine reductase YiiM, contains MOSC domain (YiiM) (PDB:1O65) (PUBMED:18312271;29459651)	87.76544368078932	1.483926660776353e-14	3.5193793971412504e-13	Ib.1, Ia.4.1483, Ia.3.II, Ia.3.V, Ia.3.I	COG2258	GC_00001521	1	0	0	0	1	0	1	0	1	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)	86.43158123021445	2.7232708483524548e-14	6.352810520009088e-13	Ib.1, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG2141	GC_00001037, GC_00002888, GC_00006334, GC_00006357	1	0.2	0	1	0	0	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppB)	85.93280157718645	3.416562463854297e-14	7.717092676293118e-13	Ib.1, Ia.3.VI, Ia.3.V, Ia.3.I	COG0601	GC_00001157, GC_00001392, GC_00001767	1	0	0	0.5	0	0	0.1667	1	1	1	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)	85.93280157718645	3.416562463854297e-14	7.717092676293118e-13	Ib.1, Ia.3.VI, Ia.3.V, Ia.3.I	COG0747	GC_00001155, GC_00001393, GC_00001766	1	0	0	0.5	0	0	0.1667	1	1	1	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized coiled-coil protein SlyX (sensitive to lysis X) (SlyX) (PDB:3EFG)	85.70936102973145	3.7817793770997134e-14	8.408550083770144e-13	Ia.3.IV, Ia.1.I	COG2900	GC_00001901	0	0	0	0.5	0	0	0	0	0	0	1	2	5	4	2	1	7	6	47	8	3	7
Fatty acid desaturase (DesA)	85.38750092343328	4.377348773609718e-14	9.583026622840968e-13	Ia.3.IV, Ia.3.VI, Ia.3.V	COG3239	GC_00001161	0	0	0	1	0	0	0.5	1	1	0	0	2	5	4	2	1	7	6	47	8	3	7
Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)	85.13248112050883	4.914953301348302e-14	1.0596937193664598e-12	Ib.1, Ia.3.III, Ia.3.IV, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0346	GC_00001064, GC_00001561, GC_00002194, GC_00002286	1	1	0	1	0	0	0.8333	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF779 family	85.05194219034804	5.098053542604928e-14	1.082765700168181e-12	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.II, Ia.3.I, Ia.1.I	COG3564	GC_00001443	1	0	1	0.5	0	1	0	0	0.125	1	1	2	5	4	2	1	7	6	47	8	3	7
Predicted molibdopterin-dependent oxidoreductase YjgC (YjgC) (PDB:1AA6)	84.286896683483	7.214779063640968e-14	1.4460043109240981e-12	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG3383	GC_00001014	1	1	0	1	1	0	1	1	0.875	1	1	2	5	4	2	1	7	6	47	8	3	7
NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) (NuoF) (PDB:2FUG)!!!NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) (NuoE) (PDB:5XF9)	84.286896683483	7.214779063640968e-14	1.4460043109240981e-12	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG1894!!!COG1905	GC_00001017	1	1	0	1	1	0	1	1	0.875	1	1	2	5	4	2	1	7	6	47	8	3	7
Formate dehydrogenase assembly factor FdhD, a sulfurtransferase (FdhD) (PDB:2PW9)	84.286896683483	7.214779063640968e-14	1.4460043109240981e-12	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG1526	GC_00001018	1	1	0	1	1	0	1	1	0.875	1	1	2	5	4	2	1	7	6	47	8	3	7
Molybdopterin-guanine dinucleotide biosynthesis protein A (MobA) (PDB:1E5K) (PUBMED:32239579)	84.286896683483	7.214779063640968e-14	1.4460043109240981e-12	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0746	GC_00001031, GC_00003875	1	1	0	1	1	0	1	1	0.875	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein YcgI, DUF1989 family (YcgI) (PDB:3DI4)	84.0451190288678	8.051154779347723e-14	1.5912212848627512e-12	Ia.3.III, Ia.3.VI, Ia.3.V	COG3665	GC_00001206	0	1	0	0	0	0	0	1	0.625	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted flavoprotein YhiN (YhiN) (PDB:3V76)	83.7424923707484	9.235545980414803e-14	1.8002988945383925e-12	Ia.3.III, Ia.3.IV, Ia.1.I	COG2081	GC_00001704	0	0.2	0	1	0	0	0	0	0	0	1	2	5	4	2	1	7	6	47	8	3	7
GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA) (MoaA) (PDB:1TV7)	83.16097466882081	1.2020870528523983e-13	2.311580913795896e-12	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG2896	GC_00001013, GC_00002280, GC_00004976	1	1	0	1	1	0.1429	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)	82.92235312540032	1.3393249750440283e-13	2.5411459193168697e-12	Ib.1, Ia.4.RS39, Ia.4.II, Ia.3.I, Ia.1.I	COG1804	GC_00001520, GC_00001804	1	0	1	0	0	1	0	0	0	1	0.2857	2	5	4	2	1	7	6	47	8	3	7
