gene_callers_id	source	accession	function	e_value
45	COG20_FUNCTION	COG0730	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family (TauE) (PUBMED:21183667;22797525)	1.64e-78
45	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
46	COG20_FUNCTION	COG0042	tRNA-dihydrouridine synthase (DusA) (PDB:1VHN)	5.73e-151
46	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
46	COG20_PATHWAY	COG0042	tRNA modification	5.73e-151
47	COG20_FUNCTION	COG1758	DNA-directed RNA polymerase, subunit K/omega (RpoZ) (PDB:3LU0)	1.68e-34
47	COG20_CATEGORY	K	Transcription	0
47	COG20_PATHWAY	COG1758	RNA polymerase	1.68e-34
48	COG20_FUNCTION	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	1.14e-102
48	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
49	COG20_FUNCTION	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase (MmsB) (PDB:1I36)	2.42e-156
49	COG20_CATEGORY	I	Lipid transport and metabolism	0
50	COG20_FUNCTION	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase (MmsB) (PDB:1I36)	5.98e-59
50	COG20_CATEGORY	I	Lipid transport and metabolism	0
51	COG20_FUNCTION	COG0686	Alanine dehydrogenase (includes sporulation protein SpoVN) (Ald) (PDB:2EEZ)	1.3e-150
51	COG20_CATEGORY	E	Amino acid transport and metabolism	0
51	COG20_PATHWAY	COG0686	Urea cycle	1.3e-150
52	COG20_FUNCTION	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)	2.04e-230
52	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
52	COG20_PATHWAY	COG0161	Biotin biosynthesis	2.04e-230
53	COG20_FUNCTION	COG4521	ABC-type taurine transport system, periplasmic component (TauA) (PDB:6SSY)	6.38e-77
53	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
54	COG20_FUNCTION	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB)	3.13e-141
54	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
55	COG20_FUNCTION	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC)	3.22e-165
55	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
57	COG20_FUNCTION	COG1032	Radical SAM superfamily enzyme YgiQ, UPF0313 family (YgiQ) (PDB:6FD2)	1.78e-155
57	COG20_CATEGORY	R	General function prediction only	0
58	COG20_FUNCTION	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase (BcsA) (PDB:4HG6)	1.03e-21
58	COG20_CATEGORY	N	Cell motility	0
59	COG20_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)	1.56e-81
59	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
60	COG20_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)	5.32e-152
60	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
61	COG20_FUNCTION	COG2055	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family (AllD) (PDB:1NXU)	8.61e-80
61	COG20_CATEGORY	C	Energy production and conversion	0
61	COG20_PATHWAY	COG2055	TCA cycle	8.61e-80
62	COG20_FUNCTION	COG0280	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)	1.2e-78
62	COG20_CATEGORY	C	Energy production and conversion	0
63	COG20_FUNCTION	COG0141	Histidinol dehydrogenase (HisD) (PDB:1K75)	1.88e-185
63	COG20_CATEGORY	E	Amino acid transport and metabolism	0
63	COG20_PATHWAY	COG0141	Histidine biosynthesis	1.88e-185
64	COG20_FUNCTION	COG1279	Arginine exporter protein ArgO (ArgO)	1.73e-30
64	COG20_CATEGORY	E	Amino acid transport and metabolism	0
65	COG20_FUNCTION	COG3565	Predicted dioxygenase of extradiol dioxygenase family	2.51e-43
65	COG20_CATEGORY	R	General function prediction only	0
66	COG20_FUNCTION	COG1045	Serine acetyltransferase (CysE) (PDB:1T3D)	7.14e-66
66	COG20_CATEGORY	E	Amino acid transport and metabolism	0
66	COG20_PATHWAY	COG1045	Cysteine biosynthesis	7.14e-66
67	COG20_FUNCTION	COG0031	Cysteine synthase (CysK) (PDB:1FCJ)	2.51e-148
67	COG20_CATEGORY	E	Amino acid transport and metabolism	0
67	COG20_PATHWAY	COG0031	Cysteine biosynthesis	2.51e-148
69	COG20_FUNCTION	COG0463	Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)	3.37e-26
69	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
70	COG20_FUNCTION	COG0483	Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family (SuhB) (PDB:1AWB)	2.66e-43
70	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
70	COG20_PATHWAY	COG0483	Gluconeogenesis	2.66e-43
71	COG20_FUNCTION	COG2175	Taurine dioxygenase, alpha-ketoglutarate-dependent (TauD) (PDB:1DRT)	7.94e-70
71	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
72	COG20_FUNCTION	COG1182	FMN-dependent NADH-azoreductase (AzoR) (PDB:1TIK)	6.53e-56
72	COG20_CATEGORY	C	Energy production and conversion	0
73	COG20_FUNCTION	COG0785	Cytochrome c biogenesis protein CcdA (CcdA) (PDB:5VKV)	1.07e-80
73	COG20_CATEGORY	C!!!O	Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones	0
74	COG20_FUNCTION	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway) (YcgM) (PDB:1GTT)	1.01e-123
74	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
75	COG20_FUNCTION	COG1940	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain (NagC) (PDB:1WOQ)	1.05e-73
75	COG20_CATEGORY	G!!!K	Carbohydrate transport and metabolism!!!Transcription	0
76	COG20_FUNCTION	COG0673	Predicted dehydrogenase (MviM) (PDB:3UUW)	3.87e-97
76	COG20_CATEGORY	R	General function prediction only	0
77	COG20_FUNCTION	COG3962	TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism (IolD)	1.63e-222
77	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
78	COG20_FUNCTION	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	1.79e-248
78	COG20_CATEGORY	I	Lipid transport and metabolism	0
78	COG20_PATHWAY	COG1012	Proline degradation	1.79e-248
79	COG20_FUNCTION	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase RhmA (HpcH) (PDB:1DXE)	1.61e-98
79	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
80	COG20_FUNCTION	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	1.32e-73
80	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
80	COG20_PATHWAY	COG0111	Serine biosynthesis	1.32e-73
82	COG20_FUNCTION	COG1082	Sugar phosphate isomerase/epimerase (YcjR) (PDB:3KTC) (PUBMED:30742415)	5.27e-109
82	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
83	COG20_FUNCTION	COG0673	Predicted dehydrogenase (MviM) (PDB:3UUW)	8.71e-91
83	COG20_CATEGORY	R	General function prediction only	0
84	COG20_FUNCTION	COG0673	Predicted dehydrogenase (MviM) (PDB:3UUW)	1.12e-92
84	COG20_CATEGORY	R	General function prediction only	0
85	COG20_FUNCTION	COG1879	ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain (RbsB) (PDB:1BA2)	9.56e-112
85	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
86	COG20_FUNCTION	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component (AraH)	2.46e-158
86	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
87	COG20_FUNCTION	COG1129	ABC-type sugar transport system, ATPase component (MglA)	6.99e-124
87	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
88	COG20_FUNCTION	COG4274	Uncharacterized conserved protein, contains GYD domain	3.29e-10
88	COG20_CATEGORY	S	Function unknown	0
89	COG20_FUNCTION	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family (PhyH) (PDB:2A1X)	2.93e-152
89	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
90	COG20_FUNCTION	COG2041	Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406)	1.9e-120
90	COG20_CATEGORY	C	Energy production and conversion	0
91	COG20_FUNCTION	COG2717	Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrQ) (PUBMED:26641313)	1.99e-55
91	COG20_CATEGORY	C	Energy production and conversion	0
92	COG20_FUNCTION	COG2068	CTP:molybdopterin cytidylyltransferase MocA (MocA) (PDB:2WAW)	1.9e-15
92	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
93	COG20_FUNCTION	COG1975	Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family (XdhC) (PDB:2WE7) (PUBMED:24498065)	2.34e-54
93	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
94	COG20_FUNCTION	COG1975	Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family (XdhC) (PDB:2WE7) (PUBMED:24498065)	1.01e-36
94	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
95	COG20_FUNCTION	COG1319	Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit (CutB) (PDB:5Y6Q)	2.71e-78
95	COG20_CATEGORY	C	Energy production and conversion	0
95	COG20_PATHWAY	COG1319	Non-phosphorylated Entner-Doudoroff pathway	2.71e-78
96	COG20_FUNCTION	COG1529	Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit (CoxL) (PDB:1DGJ) (PUBMED:10095793)	0
96	COG20_CATEGORY	C	Energy production and conversion	0
96	COG20_PATHWAY	COG1529	Non-phosphorylated Entner-Doudoroff pathway	0
97	COG20_FUNCTION	COG2080	Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family (CutS) (PDB:1FFU) (PUBMED:21175741)	2.11e-71
97	COG20_CATEGORY	C	Energy production and conversion	0
97	COG20_PATHWAY	COG2080	Non-phosphorylated Entner-Doudoroff pathway	2.11e-71
98	COG20_FUNCTION	COG3427	Carbon monoxide dehydrogenase subunit CoxG (CoxG) (PDB:2NS9)	1.73e-49
98	COG20_CATEGORY	C	Energy production and conversion	0
99	COG20_FUNCTION	COG3492	Uncharacterized conserved protein, DUF1244 family (PDB:2O35)	6.31e-39
99	COG20_CATEGORY	S	Function unknown	0
100	COG20_FUNCTION	COG0521	Molybdopterin biosynthesis enzyme MoaB/MogA (MoaB) (PDB:1DI6) (PUBMED:32239579)	4.22e-72
100	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
100	COG20_PATHWAY	COG0521	Molybdopterin biosynthesis	4.22e-72
101	COG20_FUNCTION	COG0730	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family (TauE) (PUBMED:21183667;22797525)	1.82e-58
101	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
103	COG20_FUNCTION	COG2040	Homocysteine/selenocysteine methylase (S-methylmethionine-dependent) (MHT1) (PDB:5DML)	9.67e-90
103	COG20_CATEGORY	E	Amino acid transport and metabolism	0
104	COG20_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)	7.79e-58
104	COG20_CATEGORY	G!!!E!!!R	Carbohydrate transport and metabolism!!!Amino acid transport and metabolism!!!General function prediction only	0
105	COG20_FUNCTION	COG2606	Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC (EbsC) (PDB:1DBU)	2.33e-28
105	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
106	COG20_FUNCTION	COG0174	Glutamine synthetase (GlnA) (PDB:1F1H)	5.54e-265
106	COG20_CATEGORY	E	Amino acid transport and metabolism	0
106	COG20_PATHWAY	COG0174	Glutamine biosynthesis	5.54e-265
108	COG20_FUNCTION	COG0316	Fe-S cluster assembly iron-binding protein IscA (IscA) (PDB:1R94)	7.27e-52
108	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
109	COG20_FUNCTION	COG2151	Metal-sulfur cluster biosynthetic enzyme (PaaD) (PDB:1UWD)	2.59e-40
109	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
110	COG20_FUNCTION	COG0822	Fe-S cluster assembly scaffold protein IscU, NifU family (IscU) (PDB:1Q48)	3.95e-61
110	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
111	COG20_FUNCTION	COG0520	Selenocysteine lyase/Cysteine desulfurase (CsdA) (PDB:4LW2)	1.71e-163
111	COG20_CATEGORY	E	Amino acid transport and metabolism	0
112	COG20_FUNCTION	COG0719	Fe-S cluster assembly scaffold protein SufB (SufB) (PDB:1VH4)	5.3e-76
112	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
113	COG20_FUNCTION	COG0396	Fe-S cluster assembly ATPase SufC (SufC) (PDB:2D3W)	9.19e-117
113	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
114	COG20_FUNCTION	COG0719	Fe-S cluster assembly scaffold protein SufB (SufB) (PDB:1VH4)	1.44e-289
114	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
115	COG20_FUNCTION	COG1959	DNA-binding transcriptional regulator, IscR family (IscR) (PDB:1XD7)	2.42e-52
115	COG20_CATEGORY	K	Transcription	0
116	COG20_FUNCTION	COG2945	Alpha/beta superfamily hydrolase (PDB:2FUK)	7.84e-91
116	COG20_CATEGORY	R	General function prediction only	0
117	COG20_FUNCTION	COG2377	1,6-Anhydro-N-acetylmuramate kinase (AnmK) (PDB:3CQY) (PUBMED:15901686)	2.09e-81
117	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
118	COG20_FUNCTION	COG0162	Tyrosyl-tRNA synthetase (TyrS) (PDB:4OUD)	4.46e-169
118	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
118	COG20_PATHWAY	COG0162	Aminoacyl-tRNA synthetases	4.46e-169
119	COG20_FUNCTION	COG3164	Uncharacterized conserved protein YhdP, contains DUF3971 and AsmA2 domains (YhdR)	8.86e-66
119	COG20_CATEGORY	S	Function unknown	0
120	COG20_FUNCTION	COG1186	Protein chain release factor PrfB (PrfB) (PDB:1GQE)	1.21e-138
120	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
120	COG20_PATHWAY	COG1186	Translation factors	1.21e-138
121	COG20_FUNCTION	COG5009	Membrane carboxypeptidase/penicillin-binding protein (MrcA) (PDB:3D0F)	5.62e-269
121	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
122	COG20_FUNCTION	COG1530	Ribonuclease G or E (CafA) (PDB:1SLJ)	2.79e-185
122	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
123	COG20_FUNCTION	COG2022	Thiazole synthase ThiGH, ThiG subunit (thiamin biosynthesis) (ThiG) (PDB:1TYG)	2.73e-124
123	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
123	COG20_PATHWAY	COG2022	Thiamine biosynthesis	2.73e-124
124	COG20_FUNCTION	COG2104	Sulfur carrier protein ThiS (thiamine biosynthesis) (ThiS) (PDB:1F0Z)	3.85e-10
124	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
124	COG20_PATHWAY	COG2104	Thiamine biosynthesis	3.85e-10
125	COG20_FUNCTION	COG0757	3-dehydroquinate dehydratase (AroQ) (PDB:1D0I)	1.97e-57
125	COG20_CATEGORY	E	Amino acid transport and metabolism	0
125	COG20_PATHWAY	COG0757	Aromatic amino acid biosynthesis	1.97e-57
126	COG20_FUNCTION	COG0511	Biotin carboxyl carrier protein (AccB) (PDB:1A6X)	3.63e-42
126	COG20_CATEGORY	I	Lipid transport and metabolism	0
126	COG20_PATHWAY	COG0511	Fatty acid biosynthesis	3.63e-42
127	COG20_FUNCTION	COG4770	Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)	3.47e-212
127	COG20_CATEGORY	I	Lipid transport and metabolism	0
128	COG20_FUNCTION	COG4765	Uncharacterized conserved protein, DUF2155 domain	1.62e-18
128	COG20_CATEGORY	S	Function unknown	0
129	COG20_FUNCTION	COG3761	NADH:ubiquinone oxidoreductase NDUFA12 subunit (Leigh syndrome) (NDUFA12)	4.24e-27
129	COG20_CATEGORY	C	Energy production and conversion	0
129	COG20_PATHWAY	COG3761	NADH dehydrogenase	4.24e-27
130	COG20_FUNCTION	COG0209	Ribonucleotide reductase alpha subunit (NrdA) (PDB:1R1R)	3.53e-53
130	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
130	COG20_PATHWAY	COG0209	Pyrimidine salvage	3.53e-53
131	COG20_FUNCTION	COG0173	Aspartyl-tRNA synthetase (AspS) (PDB:1C0A)	0
131	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
131	COG20_PATHWAY	COG0173	Aminoacyl-tRNA synthetases	0
132	COG20_FUNCTION	COG0593	Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)	4.33e-46
132	COG20_CATEGORY	L	Replication, recombination and repair	0
134	COG20_FUNCTION	COG0150	Phosphoribosylaminoimidazole (AIR) synthetase (PurM) (PDB:1CLI)	1.12e-129
134	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
134	COG20_PATHWAY	COG0150	Purine biosynthesis	1.12e-129
135	COG20_FUNCTION	COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN (PurN) (PDB:1C2T) (PUBMED:25013077)	3.7e-60
135	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
135	COG20_PATHWAY	COG0299	Purine biosynthesis	3.7e-60
136	COG20_FUNCTION	COG0105	Nucleoside diphosphate kinase (Ndk) (PDB:1B4S)	1.23e-54
