genome	 Marker lineage 	No.genomes 	 No.markers 	No.marker.sets 	0	1	2	3	4	 5+ 	 Completeness 	 Contamination 	 Strain_heterogeneity 				 				 	 			 	 	 			 	 	 	 	 		 	 	 	 		
 HIMB1402 	 o__Rickettsiales (UID3809) 	83	324	211	1	323	0	0	0	0	99.53	0	0				 					 			 	 	 			 	 	 	 	 			 	 	 	 	
 HIMB1437 	 o__Rickettsiales (UID3809) 	83	324	211	1	323	0	0	0	0	99.53	0	0				 					 			 	 	 			 	 	 	 	 			 	 	 	 	
 HIMB1863 	 o__Rickettsiales (UID3809) 	83	324	211	0	315	9	0	0	0	100	3.32	100				 					 			 	 	 			 	 	 	 	 			 	 	 	 	
 HIMB2104 	 o__Rickettsiales (UID3809) 	83	324	211	0	324	0	0	0	0	100	0	0				 					 			 	 	 			 	 	 	 	 			 	 	 	 	
 HIMB2200 	 o__Rickettsiales (UID3809) 	83	324	211	0	323	1	0	0	0	100	0.47	0				 					 			 	 	 			 	 	 	 	 			 	 	 	 	
 HIMB2204 	 o__Rickettsiales (UID3809) 	83	324	211	1	323	0	0	0	0	99.53	0	0				 					 			 	 	 			 	 	 	 	 			 		 	 	 
 HIMB2215 	 o__Rickettsiales (UID3809) 	83	324	211	8	316	0	0	0	0	98.1	0	0				 					 			 	 	 			 	 	 	 	 			 	 	 	 	
 HIMB1436 	 o__Rickettsiales (UID3809) 	83	323	210	0	322	1	0	0	0	100	0.48	0				 					 			 	 	 		 	 	 	 	 	 			 	 	 		
 HIMB2187 	 o__Rickettsiales (UID3809) 	83	324	211	0	324	0	0	0	0	100	0	0				 					 			 	 	 			 	 	 	 	 			 	 	 		
 HIMB2226 	 o__Rickettsiales (UID3809) 	83	324	211	0	324	0	0	0	0	100	0	0				 					 			 	 	 			 	 	 	 	 			 	 	 		
 RS39 	 o__Rickettsiales (UID3809) 	83	324	211	0	324	0	0	0	0	100	0	0				 								 	 				 	 	 	 	 			 	 	 	 	
 HIMB2305 	 k__Bacteria (UID2495) 	2993	139	83	0	139	0	0	0	0	100	0	0				 								 	 	 			 	 	 	 	 			 	 	 		
 RS40 	 k__Bacteria (UID2495) 	2993	139	83	0	139	0	0	0	0	100	0	0				 								 	 	 			 	 	 	 	 			 	 	 	 	
 NP1	 o__Rickettsiales (UID3809) 	83	324	211	2	320	2	0	0	0	99.05	0.63	0				 								 	 	 			 	 	 	 	 			 	 	 	 	
