Category	Specific.function	FUNCTION	source	accession_check	Notes	Order
Additional Carbons (Core)	Methanol or acetaldehyde oxidation	NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]	KOfam	K18382	"iron-containing alcohol dehydrogenase Sun et al., 2011"	75
Additional Carbons (Core)	Methanol or acetaldehyde oxidation	"Alcohol dehydrogenase, class IV (EutG) (PDB:6AHC)"	COG20_FUNCTION	COG1454	"iron-containing alcohol dehydrogenase Sun et al., 2011"	76
Additional Carbons (Core)	Malate dehydrogenase (oxidizes to oxaloacetate)	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	KOfam	K00029		77
Additional Carbons (Core)	L-lactate dehydrogenase	"FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase (LldD) (PDB:6AI7)"	COG20_FUNCTION	COG1304		78
Additional Carbons (Core)	L-lactate dehydrogenase	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase (LdhA) (PDB:1DXY)	COG20_FUNCTION	COG1052		79
Additional Carbons (Core)	Glycolate metabolism	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase (GlcD) (PDB:1AHU)	COG20_FUNCTION	COG0277		80
Additional Carbons (Core)	Glycolate metabolism	"Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF (GlpC)"	COG20_FUNCTION	COG0247		81
Additional Carbons (Core)	Pyruvate dehydrogenase	"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (AceF) (PDB:1B5S)"	COG20_FUNCTION	COG0508		82
Additional Carbons (Core)	Pyruvate dehydrogenase	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	KOfam	K00163		83
Additional Carbons (Variable)	Trigonnelline metabolism	(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase [EC:1.2.1.-]	KOfam	K23463		84
Additional Carbons (Variable)	Trigonnelline metabolism	(E)-2-((N-methylformamido)methylene)succinate hydrolase [EC:3.5.1.-]	KOfam	K23465		85
Additional Carbons (Variable)	TMAO catabolism	trimethylamine monooxygenase [EC:1.14.13.148]	KOfam	K18277		86
Additional Carbons (Variable)	TMAO catabolism	Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)	COG20_FUNCTION	COG0404		87
Additional Carbons (Variable)	Carbon Monoxide Oxidation	aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]	KOfam	K03520		88
Additional Carbons (Variable)	Carbon Monoxide Oxidation	Carbon monoxide dehydrogenase subunit CoxG (CoxG) (PDB:2NS9)	COG20_FUNCTION	COG3427		89
Additional Carbons (Variable)	Carbon Monoxide Oxidation	"Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit (CutB) (PDB:5Y6Q)"	COG20_FUNCTION	COG1319		90
Additional Carbons (Variable)	Carbon Monoxide Oxidation	aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]	KOfam	K03518		91
Additional Carbons (Variable)	Glyoxylate metabolism	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	KOfam	K12972		92
Additional Carbons (Variable)	Tartrate/malate dehydrogenase	tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]	KOfam	K07246		93
Additional Carbons (Variable)	Formaldehyde metabolism	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	KOfam	K00121		94
Additional Carbons (Variable)	Formaldehyde metabolism	S-formylglutathione hydrolase [EC:3.1.2.12]	KOfam	K01070		95
Additional Carbons (Variable)	Acetone metabolism	cyclohexanone monooxygenase [EC:1.14.13.22]	KOfam	K03379		96
Additional Carbons (Variable)	Glycerophospholipid metabolism	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	KOfam	K00111		97
Additional Carbons (Variable)	Glycerophospholipid metabolism	sn-glycerol 3-phosphate transport system substrate-binding protein	KOfam	K05813		98
Additional Carbons (Variable)	Glycerophospholipid metabolism	sn-glycerol 3-phosphate transport system permease protein	KOfam	K05815		99
Additional Carbons (Variable)	Glycerophospholipid metabolism	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	KOfam	K01126		100
Additional Carbons (Variable)	Glyceraldehyde 3-phosphate metabolism	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]	KOfam	K19265		101
Additional Carbons (Variable)	Glycerolipid metabolism	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	KOfam	K05878		102
Additional Carbons (Variable)	Glycerolipid metabolism	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	KOfam	K05879		103
Additional Carbons (Variable)	Aldehyde metabolism	aldehyde dehydrogenase [EC:1.2.1.-]	KOfam	K00138		104
Additional Carbons (Variable)	Malate/oxoacetate metabolism	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	KOfam	K08691		105
Additional Carbons (Variable)	Malate/oxoacetate metabolism	malate-CoA ligase subunit beta [EC:6.2.1.9]	KOfam	K14067		106
Additional Carbons (Variable)	Glycosidase	Glycosidase/amylase (phosphorylase) (AmyA) (PDB:2P67) (PUBMED:29684280)	COG20_FUNCTION	COG0366		107
Additional Carbons (Variable)	D-lactate dehydrogenase	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	KOfam	K00102		108
Additional Carbons (Variable)	Formate/oxalate metabolism	Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)	COG20_FUNCTION	COG1804		109
Additional Carbons (Variable)	Formate/oxalate metabolism	malonyl-CoA decarboxylase [EC:4.1.1.9]	KOfam	K01578	Note: two GCs (GC_00002013 and GC_00001508) hit to 4.1.1.9 however GC_00001508 had near equal hit to K01578 and to K11690 and in many tables appears only as K11690.  	110
Additional Carbons (Variable)	Haloacetate dehalogenase	haloacetate dehalogenase [EC:3.8.1.3]	KOfam	K01561		111
Additional Carbons (Variable)	Malonate transporter	malonate transporter and related proteins	KOfam	K13936		112
Additional Carbons (Variable)	D-tartrate dehydratase	D(-)-tartrate dehydratase [EC:4.2.1.81]	KOfam	K22209		113
Additional Carbons (Variable)	Partial metabolism: raffinose/stachoyse/melibiose	raffinose/stachyose/melibiose transport system substrate-binding protein	KOfam	K10117		114
Additional Carbons (Variable)	Partial metabolism: raffinose/stachoyse/melibiose	alpha-galactosidase [EC:3.2.1.22]	KOfam	K07406		115
Additional Carbons (Variable)	Partial metabolism: raffinose/stachoyse/melibiose	beta-glucosidase [EC:3.2.1.21]	KOfam	K05350		116
Additional Carbons (Variable)	Ribose metabolism	ribose transport system permease protein	KOfam	K10440		117
Additional Carbons (Variable)	Ribose metabolism	ribose transport system substrate-binding protein	KOfam	K10439		118
Additional Carbons (Variable)	Ribose metabolism	ribokinase [EC:2.7.1.15]	KOfam	K00852		119
Additional Carbons (Variable)	Fucose epimerase	L-fucose mutarotase [EC:5.1.3.29]	KOfam	K02431		120
Additional Carbons (Variable)	Aldose epimerase	aldose 1-epimerase [EC:5.1.3.3]	KOfam	K01785		121
Additional Carbons (Variable)	Fructose transport	fructose transport system ATP-binding protein	KOfam	K10554		122
Additional Carbons (Variable)	Fructose transport	fructose transport system substrate-binding protein	KOfam	K10552		123
Additional Carbons (Variable)	Fructose transport	fructose transport system permease protein	KOfam	K10553		124
Additional Carbons (Variable)	D-Xylulose metabolism	xylulokinase [EC:2.7.1.17]	KOfam	K00854		125
Additional Carbons (Variable)	D-Arabinitol metabolism	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	KOfam	K00007		126
Additional Carbons (Variable)	D-Xylulose metabolism	D-xylose transport system ATP-binding protein [EC:7.5.2.10]	KOfam	K10545		127
Additional Carbons (Variable)	"L-fucose, L-xylose, D-arabinose metabolism"	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	KOfam	K00064		128
Additional Carbons (Variable)	"L-fucose, L-xylose, D-arabinose metabolism"	"L-fucono-1,5-lactonase [EC:3.1.1.120]"	KOfam	K07046		129
Additional Carbons (Variable)	D-Arabinonate metabolism	arabinonate dehydratase [EC:4.2.1.5]	KOfam	K26399		130
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	D-xylose 1-dehydrogenase [EC:1.1.1.175]	KOfam	K22185		131
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)"	COG20_FUNCTION	COG1028		132
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+) [EC:1.1.1.401]	KOfam	K21883		133
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	gluconolactonase [EC:3.1.1.17]	KOfam	K01053		134
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	"Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain (NagC) (PDB:1WOQ)"	COG20_FUNCTION	COG1940		135
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily (RspA) (PDB:1BKH)	COG20_FUNCTION	COG4948		136
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	KOfam	K00020		137
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	KOfam	K00135		138
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	"2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]"	KOfam	K18336		139
Additional Carbons (Variable)	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	xylonate dehydratase [EC:4.2.1.82]	KOfam	K22186		140
Additional Carbons (Variable)	Gluconeogenesis	Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY)	COG20_FUNCTION	COG2352		141
amino acids	arginine via ornithine	argininosuccinate synthase [EC:6.3.4.5]	KOfam	K01940		142
amino acids	arginine via ornithine	ornithine carbamoyltransferase [EC:2.1.3.3]	KOfam	K00611		143
amino acids	arginine via ornithine	argininosuccinate lyase [EC:4.3.2.1]	KOfam	K01755		144
amino acids	histidine	ATP phosphoribosyltransferase [EC:2.4.2.17]	KOfam	K00765		145
amino acids	histidine	ATP phosphoribosyltransferase regulatory subunit HisZ (HisZ) (PDB:3OD1) (PUBMED:9767141)	COG20_FUNCTION	COG3705	K02502	146
amino acids	histidine	Phosphoribosyl-ATP pyrophosphohydrolase (HisI2) (PDB:6J22)	COG20_FUNCTION	COG0140	K01523; EC 3.6.1.31	147
amino acids	histidine	Phosphoribosyl-AMP cyclohydrolase (HisI1) (PDB:1ZPS)	COG20_FUNCTION	COG0139	K01496	148
amino acids	histidine	phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31	KOfam	NA	K11755	149
amino acids	histidine	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase / histidinol dehydrogenase [EC:3.6.1.31 3.5.4.19 1.1.1.23]	KOfam	NA	K14152	150
amino acids	histidine	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	KOfam	K01814		151
amino acids	histidine	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	KOfam	K02501		152
amino acids	histidine	imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]	KOfam	K02500		153
amino acids	histidine	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	KOfam	K01693		154
amino acids	histidine	histidinol-phosphate aminotransferase [EC:2.6.1.9]	KOfam	K00817		155
amino acids	histidine	histidinol-phosphatase [EC:3.1.3.15]	KOfam	NA	"K01089, K04486, K18649, K05602"	156
amino acids	histidine	inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	KOfam	K18649		157
amino acids	histidine	histidinol dehydrogenase [EC:1.1.1.23]	KOfam	K00013		158
amino acids	lysine	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	KOfam	K01714		159
amino acids	lysine	aspartate kinase [EC:2.7.2.4]	KOfam	K00928		160
amino acids	lysine	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	KOfam	K01439		161
amino acids	lysine	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	KOfam	K00133		162
amino acids	lysine	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	KOfam	K00215		163
amino acids	lysine	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	KOfam	K00821		164
amino acids	lysine	diaminopimelate decarboxylase [EC:4.1.1.20]	KOfam	K01586		165
amino acids	lysine	diaminopimelate epimerase [EC:5.1.1.7]	KOfam	K01778		166
amino acids	lysine	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"	KOfam	K00674		167
amino acids	glutamate	glutamate synthase (NADPH) large chain [EC:1.4.1.13]	KOfam	K00265		168
amino acids	glutamate	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	KOfam	K00266		169
amino acids	aspartate	aspartate aminotransferase [EC:2.6.1.1]	KOfam	K00812		170
amino acids	serine (M00020 incomplete)	Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	COG20_FUNCTION	COG0111	K00058; EC 1.1.1.95 	171
amino acids	serine (M00020 incomplete)	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	KOfam	K07315	serB	172
amino acids	serine (M00020 incomplete)	phosphoserine aminotransferase [EC:2.6.1.52]	KOfam	NA	serC	173
amino acids	serine (introconversion with glycine)	glycine hydroxymethyltransferase [EC:2.1.2.1]	KOfam	K00600		174
