Category	Metabolism	Specific.function2	Gene.description	Specific.function	accession_check	Environment	source_figure4	Present_in_reps	FUNCTION	Order
Alternative Carbons	D-lactate dehydrogenase	"d-lactate dehydrogenase, ldhD"	D-lactate dehydrogenase	ldhD	K00102	Offshore	KOfam	yes	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	43
Alternative Carbons	Formate/oxalate	"malonyl-CoA decarboxylase, mylcd"	malonyl-CoA decarboxylase	mylcd	K01578	Offshore	KOfam	yes	malonyl-CoA decarboxylase [EC:4.1.1.9]	44
Alternative Carbons	L-Fucose metabolism	"l-fuconolactonase, fucB"	L-fuconolactonase	fucB	K07046	Coastal	KOfam	yes	"L-fucono-1,5-lactonase [EC:3.1.1.120]"	45
Alternative Carbons	Aldehyde metabolism	aldehyde dehydrogenase	aldehyde dehydrogenase [EC:1.2.1.-]	aldB	K00138	Offshore	KOfam	yes	aldehyde dehydrogenase [EC:1.2.1.-]	46
Alternative Carbons	Formate/oxalate	"CoA:oxalate CoA-transferase, yfdE"	CoA:oxalate CoA-transferase	yfdE	COG1804	Offshore	COG20_FUNCTION	yes	Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)	47
Alternative Carbons	Glycerol catabolism	"l-glyceraldehyde 3-phosphate reductase, gpr"	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]	gpr	K19265	Coastal	KOfam	yes	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]	52
Alternative Carbons	Glycerol catabolism	"glycerol-3-phosphate dehydrogenase, glpA"	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	glpA	K00111	Coastal	KOfam	yes	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	53
Alternative Carbons	D-Xylulose metabolism	"fructose transport system, frcA"	fructose transport system ATP-binding protein	frcA	K10554	Coastal	KOfam	yes	fructose transport system ATP-binding protein	54
Alternative Carbons	D-Xylulose metabolism	"fructose transport system, frcB"	fructose transport system substrate-binding protein	frcB	K10552	Coastal	KOfam	yes	fructose transport system substrate-binding protein	55
Alternative Carbons	D-Xylulose metabolism	"fructose transport system, frcC"	fructose transport system permease protein	frcC	K10553	Coastal	KOfam	yes	fructose transport system permease protein	56
Alternative Carbons	D-Xylulose metabolism	"xylulokinase, xylB"	xylulokinase	xylB	COG1070	Coastal	COG20_FUNCTION	yes	Sugar (pentulose or hexulose) kinase (XylB) (PDB:4C23)	57
Alternative Carbons	Haloacetate dehalogenase	"haloacetate dehalogenase, dehH"	haloacetate dehalogenase [EC:3.8.1.3]	dehH	K01561	Offshore	KOfam	yes	haloacetate dehalogenase [EC:3.8.1.3]	58
Alternative Carbons	Malate/oxoacetate metabolism	"malyl-CoA/(S)-citramalyl-CoA lyase, mcl"	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	mcl	K08691	Offshore	KOfam	yes	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	59
Alternative Carbons	Malate/oxoacetate metabolism	"malate-CoA ligase subunit beta, mtkA"	malate-CoA ligase subunit beta [EC:6.2.1.9]	mtkA	K14067	Offshore	KOfam	yes	malate-CoA ligase subunit beta [EC:6.2.1.9]	60
Alternative Carbons	"	phosphoenolpyruvate:glycerone phosphotransferase"	"phosphoenolpyruvate:glycerone phosphotransferase, dhAK"	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	dhaK	K05878	Offshore	KOfam	yes	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	61
Alternative Carbons	"	phosphoenolpyruvate:glycerone phosphotransferase"	"phosphoenolpyruvate:glycerone phosphotransferase, dhaL"	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	dhaL	K05879	Offshore	KOfam	yes	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	62
Nitrogen	glutathione hydrolase	"glutathione hydrolase, ggt"	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	ggt	K00681	Offshore	KOfam	no	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	63
Nitrogen	glutamate dehydrogenase	"glutamate dehydrogenase, gdhA"	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	gdhA	K00261	Offshore	KOfam	yes	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	64
Alternative Carbons	Malonate transporter	"malonate transporter, mdcF"	malonate transporter and related proteins	mdcF	K13936	Offshore	KOfam	yes	malonate transporter and related proteins	65
Metals	Copper tolerance	"copper tolerance, cutA"	periplasmic divalent cation tolerance protein	cutA	K03926	Coastal	KOfam	yes	periplasmic divalent cation tolerance protein	66
Phosphate/Nitrogen	2-aminoethylphosphonic acid degradation	"2-aminoethylphosphonic acid degradation, phnZ"	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) [EC:1.13.11.78]	phnZ	K21196	Offshore	KOfam	yes	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) [EC:1.13.11.78]	67
Metals	Copper tolerance	"copper tolerance, mmcO"	multicopper oxidase [EC:1.16.3.1]	mmcO	K22552	Coastal	KOfam	yes	multicopper oxidase [EC:1.16.3.1]	68
Metals	Iron scavenging	"heme oxygenase, isdG"	heme oxygenase (staphylobilin-producing) [EC:1.14.99.48]	isdG	K07145	Offshore	KOfam	yes	heme oxygenase (staphylobilin-producing) [EC:1.14.99.48]	69
Nitrogen	L-carnitine degradation	"l-carnitine degradation, kce"	3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]	kce	K18013	Offshore	KOfam	yes	3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]	70
Nitrogen	L-carnitine degradation	"l-carnitine degradation, lcdH"	carnitine 3-dehydrogenase [EC:1.1.1.108]	lcdH	K17735	Offshore	KOfam	yes	carnitine 3-dehydrogenase [EC:1.1.1.108]	71
Alternative Carbons	formate metabolism	"formate dehydrogenase, fdh"	formate dehydrogenase [EC:1.17.1.9]	fdh	K00122	Offshore	KOfam	yes	formate dehydrogenase [EC:1.17.1.9]	72
Alternative Carbons	D-tartrate dehydratase	"d-tartrate dehydratase, tarD"	D(-)-tartrate dehydratase [EC:4.2.1.81]	tarD	K22209	Coastal	KOfam	yes	D(-)-tartrate dehydratase [EC:4.2.1.81]	73
Adhesion	fibronectin-binding autotransporter adhesin	"fibronectin-binding autotransporter adhesin, aidA"	fibronectin-binding autotransporter adhesin	aidA	K19231	Coastal	KOfam	yes	fibronectin-binding autotransporter adhesin	74
Metals	plastocyanin	"plastocyanin, petE"	plastocyanin	petE	K02638	Coastal	KOfam	yes	plastocyanin	75
Alternative Carbons	D-arabinitol dehydrogenase	"D-arabinitol dehydrogenase, altD"	D-arabinitol dehydrogenase	altD	K00007	Coastal	KOfam	yes	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	76
